Taxonomic_classification,Threat_Reclassified,RefID,Min_Concentration_ppm,Max_Concentration_ppm,Measurement
Fish,"Tolerance, Mechanistic, Osmoreg",93,0,1487.132,CaCl2
Fish,"Tolerance, Mechanistic, Osmoreg",93,0,1487.132,CaCl2
Crustacean,"Tolerance, Mechanistic, Osmoreg",95,0,21915,NaCl
Crustacean,"Tolerance, Mechanistic, Osmoreg",95,0,21915,NaCl
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,2000,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1100,NaHCO3
Fish,Energy Extraction,100,175,1100,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,500,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,500,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1100,NaHCO3
Fish,Energy Extraction,100,175,500,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,500,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1100,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Zooplankton,Energy Extraction,100,175,1500,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,2000,NaHCO3
Zooplankton,Energy Extraction,100,175,1500,NaHCO3
Mollusca,Energy Extraction,100,175,1500,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,Energy Extraction,100,175,1400,NaHCO3
Fish,Energy Extraction,100,175,625,NaHCO3
Fish,"Tolerance, Mechanistic, Osmoreg",101,0,25000,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",102,745.5,3727.5,KCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",102,584.4,2922,NaCl
Mollusca,"Tolerance, Mechanistic, Osmoreg",102,0,3727.5,KCl
