DataID,RefID,Reviewer,Focal: Salt/Ion type (if known) OR Conductivity,Units for salt concentration_original,Minimum concentration_original,Maximum concentration_original,Rate of change in salt (if applicaple),Temperature (C),TempSingleValue/Min,TempMax,Measurement,MeasurementNotes,TempNotes,TempPlusMinus
116,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
117,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
118,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
119,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
120,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
121,215,Carl,hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
122,215,Carl,Hardness,g,10,20,NA,ambient,Ambient,NA,Hardness,NA,NA,NA
123,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
124,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
125,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
126,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
127,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
128,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
129,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
130,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
131,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
132,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
133,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
134,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
135,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
136,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
137,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
138,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
139,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
140,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
141,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
142,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
143,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
144,8,Amber,NaCl,g L-,3,9,NA,23-25 C,23,25 ,NaCl,NA,NA,NA
